Area Code,Area Name,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
202,Sub-Saharan Africa,2015,Imports CIF (millions of US dollars),,,"341,970",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2018,Imports CIF (millions of US dollars),,,"348,431",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2019,Imports CIF (millions of US dollars),,,"354,783",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2020,Imports CIF (millions of US dollars),,,"398,494",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,1995,Exports FOB (millions of US dollars),,,"70,417",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2005,Exports FOB (millions of US dollars),,,"192,552",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2010,Exports FOB (millions of US dollars),,,"331,050",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2015,Exports FOB (millions of US dollars),,,"294,142",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2018,Exports FOB (millions of US dollars),,,"356,092",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2019,Exports FOB (millions of US dollars),,,"333,416",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2020,Exports FOB (millions of US dollars),,,"397,632",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,,"1,127",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,,"33,895",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,,"43,762",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,,"-47,827",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2018,Balance imports/exports (millions of US dollars),,,"7,662",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2019,Balance imports/exports (millions of US dollars),,,"-21,367",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
